instance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
elevators_inst_mdp__3.log,0.926598544,0.943265947,0.943689566,0.945973581,0.947552784,0.955080593,0.957850483,0.962487521,0.965903305,0.965653544,0.96694205,0.970071878,0.967170302,0.965116483,0.965989682,0.967180431,0.968945481,0.967915703,0.966703467,0.965839693,0.967688184,0.965052654,0.96260432,0.966498675,0.965811712,0.961091659,0.968319769,0.964720906,0.963923437,0.965458413,0.970040238,0.970671462,0.927380019,0.82253008,0.629381656,0.537527323,0.356494783,0.362667676,0.362885452, nan
elevators_inst_mdp__4.log,0.714487275,0.716789825,0.716688843,0.71449919,0.741202285,0.729647156,0.725319039,0.71386618,0.731114855,0.652955021,0.598083167,0.601995204,0.607385725,0.588504984,0.590964961,0.562248153,0.543631707,0.498409701,0.508837513,0.48110019,0.452052642,0.411460031,0.369353394,0.317014809,0.292367271,0.265395237,0.264378435,0.20724285,0.191381031,0.185920077,0.138861104,0.142323939,0.098627398,0.069845791,0.084906023,0.066388464,0.084225779,0.063894572,0.05277717, nan
elevators_inst_mdp__5.log,0.840531137,0.860330698,0.885056007,0.89465144,0.89245276,0.894816704,0.910099977,0.906110544,0.925002713,0.931424712,0.938141946,0.921413084,0.922809691,0.926529465,0.931167377,0.921010178,0.905760655,0.919696092,0.922513417,0.933989761,0.915336212,0.908923736,0.913819066,0.917923767,0.917482766,0.916057552,0.93784673,0.933326631,0.920831899,0.9328536,0.928315075,0.941454955,0.963087338,0.982376113,0.960106911,0.859211874,0.538820046,0.102869302,0.091698522, nan
elevators_inst_mdp__6.log,0.900863455,0.931819615,0.940859209,0.949400595,0.952612486,0.953833506,0.956807447,0.963297818,0.967918959,0.969385442,0.967554656,0.967767766,0.96677424,0.962432426,0.956826772,0.957706529,0.959974492,0.959126869,0.965622169,0.964016645,0.962804581,0.966600005,0.962990705,0.972081961,0.976260964,0.974312074,0.973789766,0.974012483,0.970603421,0.972629382,0.97187381,0.972186065,0.97376966,0.978447429,0.977332178,0.87077382,0.527806149,0.173646352,0.131354437, nan
elevators_inst_mdp__7.log,0.795769065,0.79878794,0.797635705,0.81188199,0.827503988,0.851982907,0.850116117,0.857135374,0.871223549,0.875607625,0.874570368,0.884886898,0.88143135,0.872587883,0.878826774,0.885232558,0.889990343,0.9016806,0.909071533,0.93261709,0.935689057,0.930889416,0.920166123,0.913971265,0.907793201,0.879597721,0.826494203,0.756498488,0.737339093,0.639555015,0.565796358,0.428770621,0.337468639,0.237040449,0.078323464,0.051133364,0.044084335,0.037886757,0.031483167, nan
elevators_inst_mdp__8.log,0.843029599,0.887540504,0.918004434,0.919431112,0.939000413,0.942030891,0.944086353,0.941120013,0.9463422,0.954794673,0.951077379,0.966338092,0.960107779,0.951476932,0.951667436,0.957519822,0.952098048,0.952714957,0.955735003,0.959680861,0.965192171,0.967241498,0.958337794,0.952985273,0.953240343,0.950165003,0.947245303,0.950088693,0.950145691,0.956139977,0.971187254,0.96684466,0.967957994,0.968037428,0.979787049,0.890794392,0.7296363,0.372163613,0.032634369, nan
elevators_inst_mdp__9.log,0.877641509,0.93789179,0.956641927,0.961402216,0.965497715,0.958796714,0.955530522,0.9636105,0.974503915,0.975167758,0.977027102,0.974122162,0.979176277,0.987934515,0.98512389,0.984218866,0.985037955,0.982477242,0.976534597,0.977645616,0.985180566,0.982050586,0.980448243,0.97756785,0.970448019,0.968967226,0.977982353,0.975899326,0.975795927,0.989538078,0.987988584,0.982498124,0.978675465,0.977325219,0.981666301,0.91825007,0.726516647,0.289350515,0.065351559, nan
game_of_life_inst_mdp__1.log,0.917018197,0.908060842,0.905435909,0.901453467,0.900208487,0.902457386,0.90079194,0.900352522,0.895337852,0.896902147,0.893529222,0.895379229,0.889024246,0.886867948,0.861718251,0.853492884,0.844735728,0.815541968,0.806403564,0.78295469,0.760020481,0.732533989,0.698597672,0.660751298,0.625143794,0.576509925,0.523733941,0.464105867,0.415966689,0.331017527,0.284446053,0.21402542,0.174080123,0.143938711,0.087660803,0.048975921,0.023807876,0.018794357,0.003211031, nan
game_of_life_inst_mdp__10.log,0.999976176,0.999974824,1,0.999820423,0.999718983,0.999576906,0.99965266,0.999808632,0.99951974,0.999832856,0.999773094,0.999467365,0.99922534,0.998987964,0.999573551,0.999606654,0.999862727,0.999969816,0.99988463,0.999780794,0.999837995,0.999759332,0.999886953,0.999535762,0.999802072,0.999889094,0.999758941,0.999641596,0.999371586,0.999518748,0.999450164,0.99920909,0.999583827,0.998484289,0.999474283,0.963414766,0.416307152,0.157027641,9.38E-05, nan
game_of_life_inst_mdp__2.log,0.150495021,0.168215161,0.272596164,0.324593127,0.336389925,0.315790119,0.337188926,0.357548243,0.399982414,0.420353343,0.471304072,0.485791842,0.494012223,0.538729872,0.499205155,0.511257892,0.52226152,0.57770552,0.597052765,0.585130082,0.596709701,0.591221814,0.571387318,0.600515791,0.626227259,0.6470518,0.642788988,0.649880231,0.638947423,0.589167395,0.543211491,0.479240303,0.39688625,0.298865402,0.189844852,0.117234256,0.060769728,0.020589586,0.003506672, nan
